Name,NetWorth,Country,Source,Rank,Age,Industry,CCA3,Country/Territory,Capital,Continent,Area (km2)
Jeff Bezos,$177 B,United States,Amazon,1,57,Technology,CHN,China,Beijing,Asia,9706961
Elon Musk,$151 B,United States,"Tesla, SpaceX",2,49,Automotive,IND,India,New Delhi,Asia,3287590
Bernard Arnault & family,$150 B,France,LVMH,3,72,Fashion & Retail,USA,United States,"Washington, D.C.",North America,9372610
Bill Gates,$124 B,United States,Microsoft,4,65,Technology,IDN,Indonesia,Jakarta,Asia,1904569
Ma Huateng,$65.8 B,China,internet media,15,49,Technology,COD,DR Congo,Kinshasa,Africa,2344858
Carlos Slim Helu & family,$62.8 B,Mexico,telecom,16,81,Telecom,VNM,Vietnam,Hanoi,Asia,331212
Alice Walton,$61.8 B,United States,Walmart,17,71,Fashion & Retail,IRN,Iran,Tehran,Asia,1648195
Jim Walton,$60.2 B,United States,Walmart,18,72,Fashion & Retail,TUR,Turkey,Ankara,Asia,783562
Rob Walton,$59.5 B,United States,Walmart,19,76,Fashion & Retail,DEU,Germany,Berlin,Europe,357114
Michael Bloomberg,$59 B,United States,Bloomberg LP,20,79,Media & Entertainment,THA,Thailand,Bangkok,Asia,513120
